"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","9,550.00","9,788.00","9,403.00","9,371.50","9,624.00","9,607.50","9,625.56","9,788.00","6,425.00","23,49,601","22,61,62,17,121.50","2,07,488"
"06-Jun-2025","EQ","8,945.00","9,434.00","8,876.00","8,934.00","9,372.00","9,371.50","9,270.25","9,660.00","6,375.70","19,78,386","18,34,01,24,005.50","1,93,858"
"05-Jun-2025","EQ","8,987.00","8,987.00","8,869.50","8,987.00","8,925.00","8,934.00","8,927.86","9,660.00","6,375.70","7,85,332","7,01,13,36,928.50","77,620"
"04-Jun-2025","EQ","8,975.00","9,039.50","8,964.50","8,979.00","8,994.50","8,987.00","8,997.21","9,660.00","6,375.70","5,54,493","4,98,88,88,199.00","63,399"
"03-Jun-2025","EQ","9,106.00","9,128.00","8,970.00","9,118.50","8,972.00","8,979.00","9,019.53","9,660.00","6,375.70","9,08,027","8,18,99,76,644.00","93,270"
"02-Jun-2025","EQ","9,130.00","9,165.00","9,040.00","9,180.50","9,119.00","9,118.50","9,115.97","9,660.00","6,375.70","6,61,963","6,03,44,37,736.50","80,263"
"30-May-2025","EQ","9,170.00","9,203.50","9,121.00","9,204.00","9,142.00","9,180.50","9,172.46","9,660.00","6,375.70","15,04,174","13,79,69,75,532.00","79,849"
"29-May-2025","EQ","9,250.00","9,279.50","9,160.00","9,267.50","9,210.00","9,204.00","9,200.05","9,660.00","6,375.70","7,08,175","6,51,52,47,946.50","77,008"
"28-May-2025","EQ","9,245.00","9,294.50","9,141.00","9,171.00","9,282.00","9,267.50","9,236.00","9,660.00","6,375.70","6,50,740","6,01,02,33,304.50","77,345"
"27-May-2025","EQ","9,270.00","9,290.00","9,143.00","9,269.50","9,174.00","9,171.00","9,192.26","9,660.00","6,375.70","7,15,000","6,57,24,65,231.50","87,027"
"26-May-2025","EQ","9,255.00","9,336.50","9,250.00","9,243.50","9,262.00","9,269.50","9,289.86","9,660.00","6,375.70","5,47,679","5,08,78,59,251.00","68,856"
"23-May-2025","EQ","9,139.00","9,286.50","9,111.00","9,139.00","9,248.00","9,243.50","9,232.07","9,660.00","6,375.70","4,25,169","3,92,51,88,798.50","56,398"
"22-May-2025","EQ","9,197.50","9,199.00","9,070.50","9,197.50","9,150.50","9,139.00","9,137.34","9,660.00","6,375.70","6,15,974","5,62,83,62,942.00","93,360"
"21-May-2025","EQ","9,100.00","9,280.00","9,028.50","9,079.00","9,192.00","9,197.50","9,184.41","9,660.00","6,375.70","7,32,150","6,72,43,68,740.00","98,443"
"20-May-2025","EQ","9,298.00","9,310.00","9,069.00","9,255.50","9,085.50","9,079.00","9,139.02","9,660.00","6,375.70","8,10,616","7,40,82,36,843.50","86,187"
"19-May-2025","EQ","9,167.00","9,289.50","9,167.00","9,167.00","9,248.00","9,255.50","9,235.52","9,660.00","6,375.70","7,16,274","6,61,51,61,364.50","63,938"
"16-May-2025","EQ","9,188.50","9,286.00","9,133.50","9,188.50","9,172.00","9,167.00","9,185.88","9,660.00","6,375.70","6,25,192","5,74,29,36,175.50","63,031"
"15-May-2025","EQ","9,099.50","9,215.00","9,028.00","9,081.00","9,182.00","9,188.50","9,125.14","9,660.00","6,375.70","10,38,500","9,47,64,57,633.00","1,09,672"
"14-May-2025","EQ","9,045.00","9,110.50","9,012.00","9,042.00","9,076.00","9,081.00","9,067.58","9,660.00","6,375.70","7,59,400","6,88,59,20,342.50","82,137"
"13-May-2025","EQ","9,004.00","9,163.50","8,991.00","9,018.50","9,050.00","9,042.00","9,077.14","9,660.00","6,375.70","13,36,300","12,12,97,88,245.50","1,36,605"
"12-May-2025","EQ","8,849.00","9,030.00","8,825.50","8,641.00","9,013.00","9,018.50","8,973.91","9,660.00","6,375.70","10,63,822","9,54,66,40,596.00","84,970"
"09-May-2025","EQ","8,650.00","8,781.00","8,605.00","8,832.50","8,662.00","8,641.00","8,663.06","9,660.00","6,375.70","12,15,134","10,52,67,76,560.00","1,14,043"
"08-May-2025","EQ","8,977.00","9,074.50","8,775.00","8,986.50","8,780.00","8,832.50","8,905.64","9,660.00","6,375.70","12,01,809","10,70,28,75,236.00","1,17,820"
"07-May-2025","EQ","8,750.00","8,997.50","8,723.00","8,797.50","8,977.00","8,986.50","8,916.04","9,660.00","6,375.70","11,63,557","10,37,43,20,490.00","1,22,242"
"06-May-2025","EQ","8,911.00","8,974.00","8,750.00","8,932.00","8,785.00","8,797.50","8,812.05","9,660.00","6,375.70","12,04,087","10,61,04,79,824.50","1,23,221"
"05-May-2025","EQ","8,877.50","9,033.00","8,866.00","8,862.50","8,940.00","8,932.00","8,943.11","9,660.00","6,375.70","8,93,061","7,98,67,38,577.50","1,01,616"
"02-May-2025","EQ","8,575.50","8,915.00","8,566.00","8,634.50","8,868.00","8,862.50","8,737.66","9,660.00","6,375.70","22,02,675","19,24,62,31,281.50","1,82,711"
"30-Apr-2025","EQ","8,840.00","8,888.00","8,556.00","9,093.00","8,613.50","8,634.50","8,643.99","9,660.00","6,375.70","39,69,057","34,30,85,03,854.50","4,23,669"
"29-Apr-2025","EQ","9,130.00","9,146.00","8,960.00","9,093.00","9,105.00","9,093.00","9,057.02","9,660.00","6,375.70","11,76,818","10,65,84,68,207.50","1,69,967"
"28-Apr-2025","EQ","9,080.00","9,125.00","9,000.50","9,112.00","9,075.00","9,093.00","9,065.36","9,660.00","6,375.70","9,94,656","9,01,69,19,103.00","1,33,616"
"25-Apr-2025","EQ","9,310.50","9,344.50","8,990.00","9,301.00","9,080.50","9,112.00","9,122.64","9,660.00","6,375.70","10,89,354","9,93,77,87,574.50","1,08,445"
"24-Apr-2025","EQ","9,620.00","9,660.00","9,273.00","9,323.00","9,290.00","9,301.00","9,374.10","9,660.00","6,375.70","18,49,671","17,33,90,07,268.00","1,63,098"
"23-Apr-2025","EQ","9,282.00","9,348.50","9,150.00","9,260.50","9,305.00","9,323.00","9,243.71","9,393.00","6,375.70","10,81,872","10,00,05,08,735.00","1,18,959"
"22-Apr-2025","EQ","9,295.00","9,393.00","9,230.00","9,273.50","9,235.00","9,260.50","9,325.06","9,393.00","6,375.70","11,29,358","10,53,13,29,282.00","1,34,456"
"21-Apr-2025","EQ","9,170.00","9,315.00","9,141.50","9,162.50","9,274.00","9,273.50","9,245.67","9,315.00","6,375.70","7,82,415","7,23,39,50,514.50","86,149"
"17-Apr-2025","EQ","9,040.00","9,190.00","8,952.00","9,056.50","9,170.00","9,162.50","9,079.26","9,290.00","6,375.70","11,41,513","10,36,40,97,830.00","1,13,025"
"16-Apr-2025","EQ","9,149.50","9,171.50","8,964.00","9,141.00","9,065.00","9,056.50","9,062.14","9,290.00","6,375.70","7,19,822","6,52,31,26,008.00","87,994"
"15-Apr-2025","EQ","9,255.50","9,290.00","9,075.50","8,921.10","9,138.00","9,141.00","9,140.06","9,290.00","6,375.70","12,63,361","11,54,71,89,669.50","1,12,755"
"11-Apr-2025","EQ","8,825.05","8,973.50","8,810.70","8,735.80","8,912.00","8,921.10","8,914.28","9,260.05","6,375.70","10,09,722","9,00,09,39,833.10","1,07,731"
"09-Apr-2025","EQ","8,815.00","8,842.00","8,625.00","8,822.25","8,745.00","8,735.80","8,722.67","9,260.05","6,375.70","10,48,774","9,14,81,05,326.60","1,38,514"
"08-Apr-2025","EQ","8,650.00","8,873.00","8,650.00","8,568.00","8,825.05","8,822.25","8,790.59","9,260.05","6,375.70","14,77,563","12,98,86,51,758.25","1,40,461"
"07-Apr-2025","EQ","8,340.00","8,600.50","8,307.15","8,718.85","8,590.10","8,568.00","8,451.39","9,260.05","6,375.70","13,98,124","11,81,60,96,363.45","1,59,133"
"04-Apr-2025","EQ","8,656.00","8,797.00","8,583.80","8,594.60","8,739.90","8,718.85","8,709.85","9,260.05","6,375.70","18,49,658","16,11,02,51,144.45","1,55,607"
"03-Apr-2025","EQ","8,650.00","8,765.00","8,460.20","8,669.25","8,570.00","8,594.60","8,597.51","9,260.05","6,375.70","13,96,633","12,00,75,59,992.75","1,48,865"
"02-Apr-2025","EQ","8,730.00","8,759.85","8,612.00","8,698.20","8,630.00","8,669.25","8,683.17","9,260.05","6,375.70","6,46,495","5,61,36,24,153.90","73,065"
"01-Apr-2025","EQ","8,783.30","8,925.00","8,671.00","8,945.60","8,719.35","8,698.20","8,761.66","9,260.05","6,375.70","11,83,424","10,36,87,58,175.45","1,26,566"
"28-Mar-2025","EQ","8,997.60","9,028.90","8,861.00","9,003.85","8,929.90","8,945.60","8,936.02","9,260.05","6,375.70","9,77,099","8,73,13,79,557.85","96,063"
"27-Mar-2025","EQ","8,861.00","9,055.40","8,822.25","8,866.05","9,004.70","9,003.85","8,982.55","9,260.05","6,375.70","20,92,044","18,79,18,87,533.70","1,30,155"
"26-Mar-2025","EQ","9,102.05","9,126.90","8,849.95","9,067.25","8,870.00","8,866.05","8,956.50","9,260.05","6,375.70","8,86,211","7,93,73,51,688.05","91,406"
"25-Mar-2025","EQ","9,125.00","9,260.05","8,977.05","9,090.05","9,040.00","9,067.25","9,099.50","9,260.05","6,375.70","17,48,260","15,90,82,85,700.90","1,68,353"
"24-Mar-2025","EQ","9,095.95","9,115.00","8,927.00","8,916.10","9,079.70","9,090.05","9,050.90","9,115.00","6,375.70","14,33,217","12,97,19,03,809.20","1,39,069"
"21-Mar-2025","EQ","9,039.95","9,089.00","8,831.00","8,679.65","8,911.10","8,916.10","8,928.93","9,089.00","6,375.70","27,44,801","24,50,81,42,273.20","1,88,335"
"20-Mar-2025","EQ","8,725.00","8,768.05","8,541.15","8,731.60","8,680.00","8,679.65","8,649.09","8,879.00","6,375.70","7,92,433","6,85,38,22,658.90","1,00,459"
